Author1,Author2,Weight
Tie-Yan Liu,Tao Qin,34
Tao Qin,Tie-Yan Liu,34
Gang Niu,Masashi Sugiyama,28
Masashi Sugiyama,Gang Niu,28
Zhaoran Wang,Zhuoran Yang,26
Zhuoran Yang,Zhaoran Wang,26
Sergey Levine,Chelsea Finn,25
Chelsea Finn,Sergey Levine,25
Pieter Abbeel,Sergey Levine,19
Sergey Levine,Pieter Abbeel,19
Inderjit Dhillon,Pradeep Ravikumar,19
Pradeep Ravikumar,Inderjit Dhillon,19
Sung Ju Hwang,Eunho Yang,16
Eunho Yang,Sung Ju Hwang,16
Le Song,Bo Dai,15
Inderjit Dhillon,Cho-Jui Hsieh,15
Bo Dai,Le Song,15
Cho-Jui Hsieh,Inderjit Dhillon,15
Aaron Courville,Yoshua Bengio,12
Yoshua Bengio,Aaron Courville,12
Han Liu,Zhaoran Wang,12
Zhaoran Wang,Han Liu,12
John Langford,Alekh Agarwal,11
Raquel Urtasun,Richard Zemel,11
Richard Zemel,Raquel Urtasun,11
Alekh Agarwal,John Langford,11
Prateek Jain,Inderjit Dhillon,9
John Langford,Akshay Krishnamurthy,9
Akshay Krishnamurthy,John Langford,9
Remi Munos,Michal Valko,9
Michal Valko,Remi Munos,9
Rong Jin,Tianbao Yang,9
Tianbao Yang,Rong Jin,9
Inderjit Dhillon,Prateek Jain,9
Alekh Agarwal,Akshay Krishnamurthy,8
Suvrit Sra,Stefanie Jegelka,8
Stefanie Jegelka,Suvrit Sra,8
Bo Dai,Dale Schuurmans,8
Akshay Krishnamurthy,Alekh Agarwal,8
Dale Schuurmans,Bo Dai,8
Cho-Jui Hsieh,Pradeep Ravikumar,7
Bernhard Schölkopf,Arthur Gretton,7
Pradeep Ravikumar,Eunho Yang,7
Andreas Krause,Amin Karbasi,7
Russ Salakhutdinov,Nati Srebro,7
Jun Zhu,Eric Xing,7
Amin Karbasi,Andreas Krause,7
Dale Schuurmans,Mohammad Norouzi,7
Jason Lee,Simon Du,7
Sung Ju Hwang,Jinwoo Shin,7
Eric Xing,Jun Zhu,7
Arthur Gretton,Bernhard Schölkopf,7
Jinwoo Shin,Sung Ju Hwang,7
Simon Du,Jason Lee,7
Mohammad Norouzi,Dale Schuurmans,7
Pradeep Ravikumar,Cho-Jui Hsieh,7
Nati Srebro,Russ Salakhutdinov,7
Eunho Yang,Pradeep Ravikumar,7
Oriol Vinyals,Razvan Pascanu,6
Eric Xing,Russ Salakhutdinov,6
Le Song,Alex Smola,6
Russ Salakhutdinov,Eric Xing,6
Michal Valko,Alessandro Lazaric,6
Alex Smola,Le Song,6
Alessandro Lazaric,Michal Valko,6
Razvan Pascanu,Oriol Vinyals,6
Nicolas Heess,David Silver,5
Alex Schwing,Raquel Urtasun,5
Nicolas Heess,Razvan Pascanu,5
Jinwoo Shin,Eunho Yang,5
Yoshua Bengio,Sergey Levine,5
Csaba Szepesvari,Dale Schuurmans,5
Arthur Gretton,Alex Smola,5
Eunho Yang,Jinwoo Shin,5
Sergey Levine,Yoshua Bengio,5
Arthur Gretton,Le Song,5
Han Liu,Tong Zhang,5
Zhi-Hua Zhou,Rong Jin,5
Michael Jordan,Peter Bartlett,5
Raquel Urtasun,Alex Schwing,5
Michael Jordan,John Duchi,5
Tong Zhang,Han Liu,5
Dale Schuurmans,Csaba Szepesvari,5
Honglak Lee,Jinwoo Shin,5
Rong Jin,Zhi-Hua Zhou,5
Josh Tenenbaum,Antonio Torralba,5
David Silver,Remi Munos,5
Antonio Torralba,Josh Tenenbaum,5
Jinwoo Shin,Honglak Lee,5
David Silver,Nicolas Heess,5
John Duchi,Michael Jordan,5
Remi Munos,David Silver,5
Razvan Pascanu,Nicolas Heess,5
Peter Bartlett,Michael Jordan,5
Le Song,Arthur Gretton,5
Alex Smola,Arthur Gretton,5
Russ Salakhutdinov,Simon Du,5
Simon Du,Russ Salakhutdinov,5
Inderjit Dhillon,Ambuj Tewari,4
Prateek Jain,Ambuj Tewari,4
Nati Srebro,Jason Lee,4
Han Liu,Zhuoran Yang,4
Jason Lee,Nati Srebro,4
Tong Zhang,John Langford,4
Jason Lee,Tengyu Ma,4
Alessandro Lazaric,Mohammad Ghavamzadeh,4
Pieter Abbeel,Chelsea Finn,4
Mohammad Ghavamzadeh,Shie Mannor,4
Mohammad Ghavamzadeh,Alessandro Lazaric,4
Ohad Shamir,Nati Srebro,4
Nati Srebro,Ohad Shamir,4
Tengyu Ma,Jason Lee,4
Ambuj Tewari,Prateek Jain,4
Shie Mannor,Mohammad Ghavamzadeh,4
John Langford,Tong Zhang,4
Chelsea Finn,Pieter Abbeel,4
Stefanie Jegelka,Andreas Krause,4
Ambuj Tewari,Inderjit Dhillon,4
Andreas Krause,Stefanie Jegelka,4
Zhuoran Yang,Han Liu,4
Mohammad Norouzi,Honglak Lee,3
Richard Zemel,Russ Salakhutdinov,3
Cho-Jui Hsieh,Sanjiv Kumar,3
Suvrit Sra,Sanjiv Kumar,3
Prateek Jain,Sewoong Oh,3
Honglak Lee,Sergey Levine,3
Yoshua Bengio,Razvan Pascanu,3
Nicolas Heess,Yee Whye Teh,3
Quoc V Le,Alex Smola,3
Alessandro Lazaric,Remi Munos,3
Csaba Szepesvari,Mohammad Ghavamzadeh,3
John Duchi,Percy Liang,3
Stefanie Jegelka,Michael Jordan,3
Razvan Pascanu,Yoshua Bengio,3
Tianbao Yang,Zhi-Hua Zhou,3
Sanjiv Kumar,Suvrit Sra,3
Honglak Lee,Mohammad Norouzi,3
Sanjiv Kumar,Cho-Jui Hsieh,3
Sergey Levine,Honglak Lee,3
Alex Smola,Bernhard Schölkopf,3
Ambuj Tewari,Pradeep Ravikumar,3
Alex Smola,Quoc V Le,3
Oriol Vinyals,David Silver,3
Percy Liang,John Duchi,3
Percy Liang,Tengyu Ma,3
Pushmeet Kohli,Josh Tenenbaum,3
Sewoong Oh,Prateek Jain,3
Michael Jordan,Stefanie Jegelka,3
Zhi-Hua Zhou,Tianbao Yang,3
Doina Precup,David Silver,3
Csaba Szepesvari,Remi Munos,3
Yee Whye Teh,Nicolas Heess,3
Russ Salakhutdinov,Geoffrey E Hinton,3
Russ Salakhutdinov,Antonio Torralba,3
Mohammad Ghavamzadeh,Csaba Szepesvari,3
Tengyu Ma,Percy Liang,3
Russ Salakhutdinov,Richard Zemel,3
Eric Xing,Le Song,3
Russ Salakhutdinov,Josh Tenenbaum,3
