,country
United States,23534
United Kingdom,4713
China,3517
None,3433
Canada,1647
Germany,1533
France,1358
Switzerland,1301
Italy,1078
Israel,797
Australia,693
Afghanistan,603
Japan,464
South Korea,447
India,446
Singapore,405
Russia,373
Netherlands,340
Kenya,205
Brazil,203
Austria,171
Sweden,158
Hong Kong,153
Denmark,151
Belgium,140
Finland,140
Spain,121
Taiwan,111
Saudi Arabia,72
Russian Federation,60
Poland,57
Philippines,51
Slovakia,48
Czechia,46
Bosnia and Herzegovina,44
Ireland,40
Turkey,36
Portugal,34
Indonesia,33
Bangladesh,28
Uganda,27
Iran,26
South Africa,26
United Arab Emirates,26
Argentina,25
Jamaica,25
Greece,23
Colombia,22
Egypt,22
Mexico,19
Norway,17
Kyrgyzstan,14
New Zealand,13
Romania,13
Chile,13
Yemen,12
Luxembourg,12
Hungary,11
Nepal,11
Warsaw,11
Pakistan,10
Malaysia,10
Viet Nam,10
Myanmar,8
Cuba,7
Chad,6
Peru,6
Palestinian Territory,5
Qatar,5
Serbia,5
Senegal,5
Uruguay,5
Cameroon,5
Estonia,4
Thailand,4
Slovenia,4
Ukraine,4
Kuwait,3
Cyprus,3
Armenia,3
Azerbaijan,3
Syria,3
Bulgaria,3
Madagascar,3
Czech Republic,2
Sudan,2
Algeria,2
Georgia,2
Somalia,2
Lebanon,2
Namibia,2
Latvia,1
Lithuania,1
Paraguay,1
Panama,1
Sierra Leone,1
Albania,1
Sri Lanka,1
North Macedonia,1
Liberia,1
Democratic Republic of the Congo,1
Libya,1
Mozambique,1
Belarus,1
Haiti,1
Prague,1
Anguilla,1
The Bahamas,1
Nigeria,1
Ecuador,1
El Salvador,1
Ethiopia,1
Vietnam,1
Macao,1
Bermuda,1
Mongolia,1
Barbados,1
Kazakhstan,1
