,country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,United States,5.402677381872279,5.6131281063880705,5.726847747587197,5.87493073085203,6.073044534100405,6.102558594613569,6.270988431858299,6.366470447731438,6.511745329644728,6.529418838262226,6.963189985870238,7.606387389772652,8.162516250140179,8.52793528794814,8.646113971483077,7.443078374348516
1,United Kingdom,3.6888794541139363,4.127134385045092,4.219507705176107,3.713572066704308,4.007333185232471,4.248495242049359,4.356708826689592,4.48863636973214,4.634728988229636,4.7535901911063645,5.2832037287379885,6.1903154058531475,6.71901315438526,6.96979066990159,7.02108396428914,5.683579767338681
2,China,2.5649493574615367,2.833213344056216,3.091042453358316,3.4965075614664802,3.5553480614894135,2.6390573296152584,3.9318256327243257,3.6635616461296463,4.204692619390966,3.7376696182833684,4.624972813284271,5.44673737166631,6.313548046277095,6.726233402358747,7.037905963447182,5.783825182329737
3,Canada,3.4011973816621555,3.295836866004329,3.367295829986474,3.1780538303479458,3.4657359027997265,3.5553480614894135,3.9318256327243257,3.828641396489095,3.58351893845611,3.970291913552122,4.110873864173311,4.477336814478207,5.62040086571715,5.860786223465865,5.869296913133774,5.0369526024136295
4,Germany,3.6635616461296463,3.4657359027997265,4.02535169073515,3.5553480614894135,3.7612001156935624,3.871201010907891,3.871201010907891,4.0943445622221,3.6635616461296463,3.58351893845611,3.6109179126442243,4.532599493153256,5.159055299214529,5.673323267171493,5.860786223465865,5.017279836814924
5,France,2.1972245773362196,2.833213344056216,3.4011973816621555,2.995732273553991,3.4339872044851463,3.367295829986474,3.970291913552122,3.784189633918261,3.8066624897703196,3.9512437185814275,4.31748811353631,4.61512051684126,5.099866427824199,5.7430031878094825,5.768320995793772,4.02535169073515
6,Switzerland,2.70805020110221,2.833213344056216,1.9459101490553132,2.4849066497880004,2.6390573296152584,2.995732273553991,3.091042453358316,3.2188758248682006,3.58351893845611,3.8066624897703196,4.343805421853684,4.820281565605037,5.3706380281276624,5.6240175061873385,5.7745515455444085,4.290459441148391
7,Italy,4.394449154672439,3.871201010907891,4.07753744390572,4.430816798843313,3.4657359027997265,3.1780538303479458,3.091042453358316,2.1972245773362196,3.044522437723423,1.6094379124341003,2.302585092994046,3.6109179126442243,5.5134287461649825,5.5909869805108565,4.6913478822291435,3.044522437723423
8,Israel,2.833213344056216,2.302585092994046,2.6390573296152584,2.3978952727983707,3.044522437723423,3.044522437723423,3.044522437723423,3.1354942159291497,3.295836866004329,3.295836866004329,3.4339872044851463,4.30406509320417,4.762173934797756,4.948759890378168,5.298317366548036,3.7376696182833684
9,Australia,2.5649493574615367,1.9459101490553132,2.3978952727983707,2.833213344056216,2.833213344056216,2.3978952727983707,2.4849066497880004,2.302585092994046,2.9444389791664403,2.995732273553991,3.295836866004329,3.970291913552122,4.477336814478207,4.77912349311153,5.278114659230517,4.290459441148391
10,Afghanistan,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,1.0986122886681098,1.3862943611198906,1.3862943611198906,3.332204510175204,2.5649493574615367,4.74493212836325,4.499809670330265,3.713572066704308,3.044522437723423,5.634789603169249
11,Japan,1.6094379124341003,1.3862943611198906,2.0794415416798357,2.3978952727983707,2.4849066497880004,2.5649493574615367,2.6390573296152584,2.1972245773362196,2.3978952727983707,2.833213344056216,2.8903717578961645,3.6635616461296463,4.330733340286331,4.499809670330265,4.68213122712422,3.367295829986474
12,South Korea,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1.3862943611198906,2.0794415416798357,2.3978952727983707,3.58351893845611,4.204692619390966,4.6913478822291435,4.844187086458591,4.343805421853684
13,India,1.6094379124341003,2.302585092994046,1.9459101490553132,2.3978952727983707,2.833213344056216,1.3862943611198906,2.3978952727983707,2.302585092994046,3.258096538021482,2.4849066497880004,3.044522437723423,3.367295829986474,4.007333185232471,4.5217885770490405,4.727387818712341,3.1354942159291497
14,Singapore,1.3862943611198906,1.6094379124341003,1.0986122886681098,2.0794415416798357,1.0986122886681098,1.0986122886681098,1.3862943611198906,3.091042453358316,2.1972245773362196,1.6094379124341003,1.791759469228055,3.5553480614894135,3.970291913552122,4.248495242049359,4.9344739331306915,3.58351893845611
