Conference,Year,Title,Author,Affiliation,Authors,no_of_citations,cited_paper_ids,PaperId,no_of_paper_cited
NeurIPS,2006,Attentional Processing on a Spike-Based VLSI Neural Network,Yingxue Wang,"Swiss Federal Institute of Technology, Zurich","Yingxue Wang,Rodney J Douglas,Shih-Chii Liu,",0,,,0
NeurIPS,2006,Multi-Task Feature Learning,Andreas Argyriou,Ecole Centrale de Paris,"Mike Mozer,Michael Jones,Michael Shettel,",2,"['ad82862b99028bf87eda454bf0f92788f19cdbac', '4891c3fac688a9f691bf8fe102ad1c88d902d211']",1cac3ee85e52cb0afde71f66472e35a315a4a112,2
NeurIPS,2006,A Rate-Distortion Approach to Joint Pattern Alignment,Andrea Vedaldi,Facebook AI Research and University of Oxford,"Alfred Hero,",0,,,0
NeurIPS,2006,Context Effects in Category Learning:  An Investigation of Four Probabilistic Models,Mike Mozer,Google Research and U. Colorado Boulder,"Ping Li,Kenneth W Church,Trevor Hastie,",3,"['c5c744b1609f473c882bcbd751eb13a72f13e7bc', 'f5a2bb8542c520d61712f6b2228e1d4b27dceacb', '9e920b57e83edbabe0ba345e453c2982ef391f2b']",7227f224679969446d5363c7dbfd61bcdd4b338f,3
NeurIPS,2006,Comparative Gene Prediction using Conditional Random Fields,Jade P Vinson,Renaissance Technologies,"Michael Rabbat,Mario T Figueiredo,Rob Nowak,",12,,,0
NeurIPS,2006,Causal inference in sensorimotor integration,Konrad P Kording,MIT,"Robert Jenssen,Torbjorn Eltoft,Mark A Girolami,Deniz Erdogmus,",34,"['fd1621615511d7dd035863c112757e67172da7b5', 'f868078d80eef3bdbe38afbb5f1d1059cddc9524', '24732c418de8c3df719955cfd19a528602e53320', 'f320c79015e3ddd29cb4e99148c68b7778c75833', '8747007917b61e8f5b2e8b6dc8b4d106af1aa979', '98c2c410aa682e7f7a860480bc8c2ffec449d247', 'f0f7c0b68debbd789c69e1f3dde484f0ca82f2d3', '695fdeb59911ef9d88b069ba8e84e297a2b32259', '13a0ae027c61aa28e50cb6a72fd67e5a24ad2eb5', '2fadbc2872603a4baf4d9c3fd549bdf80f20f268', '728d4d4220733b2e72fba461479a1f9ea5fa4891', '390d73a2d05736b8fa78d1ea19ffcf904921155a', '27e44d08ec593619e7b3e456e2079e97bba504c1', '90e9ac1a0edb0e59abb22a07104085a162223439', '7eefce806c2edb76c0bdcbcbf38ae88ae26a0056', 'dfea417d708db30a90af80f032fd40809ae5c9d3', '075d5677a6da3d13b59d68fb7fa59b397755dbad', 'b79ff2a34fcfdaab610a66d5a9ff48ba5bfe9993', '378f638f035e227a455483666a42a997c147bcb1', '8323b78f56ab82d9cec5c21f5add743d5c1d2ff3', 'dcab4aa21a65b6f59101148d9cc580bc2eeb9a95', '6cb6d1b6c3f6de16aa26549ce3e9fb7c688b9f4a', 'd927e3549772e8004a42cfda255e79c6abfa886c', '078d34e7842ceb2c7f679461d445c7a2b3589bbb', '8c2b685bab14ade75d63c2049078f4d2957611ce', '889c23a204a271e098ee362a5cd1581d9de169fc', 'ee78cd46751896230b47ac3959b0ca4cd8156023', 'fefcbc7eeaeb54a8c8b3d644ec6c2c59a9da419a', 'b75e91546540c6667e3595da3db6d74481553ba2', 'c7d601d759a65d2eebad24537f04df22c06f26e3', '7cf8fdca10e2b8ab9a878947534912cbb62a91f9', 'ca7ca1bdff9c8d45442e5c5e295b509377736fca', 'a7ab7ea41d4aff4c5df036b050dcf09a1ac5e078', '01fc62d10db128d12020c770774d7c9f3268e51d']",219a1eed0d61a144024a6d1cf487c116d1cfd017,34
NeurIPS,2006,Geometric entropy minimization (GEM) for anomaly detection and localization,Alfred Hero,University of Michigan,"Eyal Even-Dar,Michael Kearns,",0,"['7ee1483b3169576c18ade8833fc555af2590aae1', 'a441962ddd0a251aa854dcd062c9eed371f61b64', 'd1b99ab6c66486aeb9ec65209fc4441a1f78dd2d', 'b7ba7b9e0db986a90d4e245fe7598dc89531b76d', '46378c131df382af12cb7da8f29b8f895cc53a0a', '5d450f992e48dae42b217399e43fefa96be6fee7', 'b32711bbcfdab413dc94d110920ad05db401758d', '662f3508c6385f403976153d7c8c8b2b1be2b46a', '07ad10d4aeae61c16990b6842131131f4a27156a', '9dfff926173f631df57336f91fdd35efc3b20efe', '2370701d14fe5c8acf44e273f27aa3fa1359594c', '8caea5ba103d5e5a585e264374dbc856394ed19d', '7389c7091c84cd6a2a540136d05678f981f5cd1c', 'f3694edba300a2f16f7b98acf787fb5ec3684392', '3b9b623a2fa56ca74eceaf9189cddf768f66bbbb', '3263d8eea6eb497e32cfdcf6766b05d02137afad', '36045f5e6a469c5e80167c93ea94b38093889bbd', 'd2fe8bdc0d638ce6f082b4a0cd08d999f4e9e8d3', '4046cbb84e75b77da5de72e1cc404bfc62230cdb', '59f48906a2a851902f7e6dc71759f0d1b534c983', 'e66895a9bc9d8ee6569f38c3c0ae8ceed5b106be', 'b60396e946ba04877b6353b37bfdd5a0fdfb85e9', 'd8e0e3b4f4b6b4969ea4d15635b1149802861ca4', 'df1f39062dc27749a70fb2a4bdb710b743a0b02e', '480ff4343c3debc469e4b8fcef7f5baed71847c5', '9f74d04fd845a767cffcd09b51a0aa59fec1ab5c', '8019a97e2cf86d613f9189044f8e671a6b92cf3a', '3ac8dbcf9125287c86b2f958eac0ef2f71b7d973', 'f5e3e3110e5a8ab2395ff51a479c171d746ac5ed', '2408a829f92fa1180152a8d5e6027b1e56e4de6e', '91ea6fa4258f0718141fcb14f96ae80cf7438131', '49212c7f2024e12096db023b773ad3bbf9ccec49', '04c187f1c3c1be6212478cb59e8581635c097cbc', 'fa5dfb7ace7840d15146c99f32aec42b2f292c19', 'c6d509c9578f435fe4c794c0c79acad718fbce9b', '938dab004abc3918d162c250047152a8ac8afa78', 'df3a90660c90a37fc558778326bdee0ab34a7434', '51c05a7f1413674278900a4fc86a5ed00a362fa6', 'f60d6937f6b792cd34f2d76b84ad1f8650e0558f', 'af6d94731c7ae56003caa63cf271d9ed269b588b', '3607e11246ee1002626bc026f5c1f4c75e7394da', 'e458f9ca2159a43aa655c97014778048986bf26c', '55c220e4cdac9b9daae07ae4f8c16cc01564ba1d', '13313fed7a06b66c1ac7364c03f9fa0da86f5538', '13940d0cc90dbf854a58f92d533ce7053aac024a', '5807863cd5a65d2fbceb2e4657ae51e28ecae547', '544c5d8b286f1e58765bc3a64b42884d163bd997', '0af8a0b12f172f6e95600837b50a3128c4c4624b', '0c16dc5f2552e0ad72a6aaf050a01582c3d0149c', '80298230eb439efd28c376d7657dc400ca0caba6', 'b598fc0767ddd7bae16657004f0c26c28be05ae1', 'ce4b1fe13b1385da012f10ae6c1179a4c28eb884', '1aa21c5e30bc19b265114be66b3a9275d3a25d78', '488c2d9fea05efc905db7d4556f179cc0912c861', '79e7ce6a700e112bce5f76e48e9d5ae53a9c82c1', 'd996a532a56d1fd53cbc9f03d369a170f4767b95', '5ed4173b24b616df85a90284406071f01319816a', '144c7ad1922ab912c1aca6714b209799bafbb4c1', '8f923ad5bb95f67cd51f1de0a16c2c794cee2b29', '0474b5174933981734cba1a653d7eb7092542d9b', '27ee8e12aa8d072d7b7ab825e7374647d3fb9139', 'b0ad79cfd8e29e42376acf3d2f55ba3b93d38e25', '383d2f6d219e9f009716306a395be264c6da4ace', '2d77a4412ebb5c0a01e14a764571eed12e433a6e', '87a91ef2f332ed509f184d91a28f23251e0e546c', 'abce8b80c8ff0ea93fdace110fa653090ed9dac3', 'f8fde05d4abdb52943211da1576056d1d4a327c3', '0ae7a1a7c0dea656c244dfbcd47dc2cc01face99', '1b2629be3c41b6ce7b55c45d18ba23727d6f0df2', '4b1159f7a2e374070b540f7cd1e51f3732741bf0', 'd2e1c9237400616b94db14aa3fd1ea58c7b47693', '7b508a1ffd6fb338a9cc23ab03815f8c721c2697', 'ac49f032dca06de3dd30b3a07a8aa438feb0600d', 'd612d7c21d4130a457968273d79c2c2f6946953d', '145724d64f446007357a763e5eab4f06a67bfbc7', '7a41aca0f5a8457d5d2aac393ca4c846dabe515d', '80f1d4d0275feac98baf9043086855661802c4b3', 'a8ad5657a52f549523fb5608c7a78801e8b7a950', 'f09425d962cfda37b53c85108fdbbc4911caa7cc', 'c8c8c29c231a7658c03613a5c7dcd8b136d4c79a', 'f9af132681aada01be5a50b08ad5332c075f7839', 'ea38ff6575bc437f16ed8d8caabc8f18f585ee67', '5836a0e00ac44e3e62f34edae534fb18e7b2e9ab', '9c1e2989931ac12863addbf98e5f2ba91f91e6d9', 'f6f180d3d6143cbde5c328426deafade87f6c60a', '5fe88d2596f3dd93fba7f140d489742baad4567b', '9c1e2989931ac12863addbf98e5f2ba91f91e6d9', '2e953b88d05cf4c917baac6a90094762e3610ef4']",dc08a44d88826a80472c374a287a78376a167fd0,88
NeurIPS,2006,Conditional Random Sampling: A Sketch-based Sampling Technique for Sparse Data,Ping Li,Baidu Research USA,"Olivier Chapelle,Vikas Sindhwani,Sathiya Selvaraj Keerthi,",0,"['8fc9a63dc98dce6692472fc7c007d6571e0df383', '184cf6a5418d6c66d2618ccaade2ad47d11888e3', '76adc7eb9f41e8c881ce14e27b7af5ed2a170024', '10463d2b3f4625a79b12c53b35f676992346107a', 'bb68b1ac5f1c5152aa95fc03267910e1e8d11c7c', '4a66c1694c2d8c0fa95e6b35e624193cf110b521', 'de9f0614553c07b9fbe37cb1703f1c69abc80d61', '479e126f46fd816e1e4c690e529874b2a9f1d679', '18e35c04eb5263d362f9144ede8b328e01ef3006', 'c452c807a8f47c6813eb51fa0687396caa275516', '2d024cda9043514b9335bd1fcdc288b74983220e', '81cc3e8dd3c155e8675506f542cf65d808388000', '7f3dfc6c1d6049714c4934369d7aecd06eea78ef', 'a4495a32473390c837bc93550f806a3b4494acbd', '6dae9e710a986a2426f7c493e66e90c649848e02', 'a8767676965710691e6b873fd47fd8e9e79e8ced', '3a3802f4be81ce22d9a1009e0dcfa63d037b3eef', 'c3ac35e549a6b4edf9f56cb0f292bdb4a2e6681d', '6c3ca7a03152fb48674ceb1e345eecca6f0308aa', '226bab70ecb9e13ef8fdb503a6183615d5c898ed', 'c8c3cd883f73ae6fe465f6c8d4f7f96c8bbe989e', '6d552d38404a5e01d142322c456c50ffaf3d3a1f', '1b16571a4bbdcb916b250d3640e683700de143b8', 'bec08fc83b02c9103cd47d8ee1e0069974727d13', '456e38506a0bd3fd4fed02ca9497665227b6dd18', '756367187954f976c44dd19095b9d6f4b09f63df', 'e53ed25493ef26efaf64e6cafb97009ede2d8409', 'a2bd13b96cefcd7c48f69f3f7f437919768e06ec', '7f0b6648307877834ee5efec967458d79bb88814', 'ec3de6e17722486ef572e48e747bd5c318394f51', '812b1936e96f3405886adca55ada27a566737a0c', '10f68de13b995c2ddc98e20b87e7fabe6a5c972b', 'a25ffed05d66950ee3ca99ce0625621d5d104d87', 'b2387e70a40dfcd71aff51972f106d64168299cd', 'fde045b5d30ecafb9a3865600f7e8bbe672903f2', 'b818c6168bafa76e2733f6584cd1eb739882c7fb', '9cbac60932dcc27fe45d0d1d777a0b534615b821', '857f97145faacea7b8447391818bd5016b01c911', '9a2aa2aee8926ec07a4a76324b7665f678d3517c', '00bbfde6af97ce5efcf86b3401d265d42a95603d', '511b0bb924d109767feb11855acd059125ff0164', '4b89c4b519791264bd0106c62af1fd98b70eb16e', '1385b9e3b71bda9e69f697a7fa58d2aef6362920', '13dec17a485061c130143ea020d1512d8cb2741c', '5652264d1e12624d14054bfbe18573bb8272352e', 'f153f9a68f73e4f3982ae3bcd83eeed1ceeb7a90', '1754a3bf98d629eb90886d6f448a8888604ab151', '9883f04c04e9c466f2c7d3fed89d9b2f6c4fbe0e', '0393eaa7d18b9dc117743350efa7388b363985f9', '33abe59ec101213e5558b3ef5224a070ca8a1851', '0393eaa7d18b9dc117743350efa7388b363985f9']",2ca59d9e88682a56b6f8fc748d3186d089749bf2,51
NeurIPS,2006,Recursive ICA,Honghao Shan,Experian,"Kai Yu,Wei Chu,Shipeng Yu,Volker Tresp,Zhao Xu,",0,['066d833b5fbbb622890d24466290e6c2dfa4428f'],67f37538c732eb1d9f4d5f47816b5e210085ae8f,1
NeurIPS,2006,"Efficient sparse coding algorithms, end-stopping and nCRF surround suppression",Honglak Lee,U. Michigan,"Yee Whye Teh,David Newman,Max Welling,",0,['04a5ef794a66e06bcea0d50a5d43dfe25019b428'],600f5d8df92b6cc7f4b800fabe47f66eb7fb9acd,1
