,country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,United States,222,274,307,356,434,447,529,582,673,685,1057,2011,3507,5054,5688,1708
1,United Kingdom,40,62,68,41,55,70,78,89,103,116,197,488,828,1064,1120,294
2,China,13,17,22,33,35,14,51,39,67,42,102,232,552,834,1139,325
3,Canada,30,27,29,24,32,35,51,46,36,53,61,88,276,351,354,154
4,Germany,39,32,56,35,43,48,48,60,39,36,37,93,174,291,351,151
5,France,9,17,30,20,31,29,53,44,45,52,75,101,164,312,320,56
6,Switzerland,15,17,7,12,14,20,22,25,36,45,77,124,215,277,322,73
7,Italy,81,48,59,84,32,24,22,9,21,5,10,37,248,268,109,21
8,Israel,17,10,14,11,21,21,21,23,27,27,31,74,117,141,200,42
9,Australia,13,7,11,17,17,11,12,10,19,20,27,53,88,119,196,73
10,Afghanistan,0,0,1,2,1,0,3,4,4,28,13,115,90,41,21,280
11,Japan,5,4,8,11,12,13,14,9,11,17,18,39,76,90,108,29
12,South Korea,0,0,0,2,2,2,2,0,4,8,11,36,67,109,127,77
13,India,5,10,7,11,17,4,11,10,26,12,21,29,55,92,113,23
14,Singapore,4,5,3,8,3,3,4,22,9,5,6,35,53,70,139,36
