,country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,United States,8.289037098278483,8.302017809751204,8.297294370266917,8.301273485191347,8.30844552038576,8.292298107063221,8.30943074214033,8.302265794873367,8.31164394850298,8.292047637431354,8.378390788535778,8.503905297089302,8.60813018640834,8.617400451833262,8.4368504387337,0.0
1,United Kingdom,8.289037098278483,8.294549515143679,8.29054350077274,8.282230063296685,8.29254851397576,8.292798858200374,8.291045131081729,8.291797105048733,8.29254851397576,8.292298107063221,8.309184527686298,8.359603270841466,8.371010681238156,8.346642090221199,8.3030093814735,8.056426767522984
2,China,8.289037098278483,8.290041618704489,8.290292591224315,8.291797105048733,8.289539484624141,8.28374674710613,8.298290634359283,8.286017468404763,8.2960476427647,8.282735880201754,8.303999970955196,8.32117830749028,8.366370301681654,8.357493812658563,8.36287583103188,8.060224240440958
3,Canada,8.289037098278483,8.28828304520769,8.289539484624141,8.287780027088433,8.291045131081729,8.289790583181643,8.293049139768444,8.287780027088433,8.286521373681236,8.293299358711323,8.291045131081729,8.295798110636145,8.335191583433202,8.307705966549513,8.289790583181643,8.237479288613633
4,Germany,8.289037098278483,8.287276755814599,8.295049140435111,8.28374674710613,8.291045131081729,8.290292591224315,8.289037098278483,8.292047637431354,8.28374674710613,8.28828304520769,8.289288323000317,8.3030093814735,8.309184527686298,8.318010277546872,8.303999970955196,8.237479288613633
5,France,8.289037098278483,8.291045131081729,8.292298107063221,8.286521373681236,8.291797105048733,8.288534459413917,8.295049140435111,8.286773231131251,8.289288323000317,8.290794347381356,8.294799358992574,8.295548516225763,8.304742269640771,8.325548307161398,8.291045131081729,8.22040309993373
6,Switzerland,8.289037098278483,8.289539484624141,8.286521373681236,8.290292591224315,8.289539484624141,8.29054350077274,8.289539484624141,8.289790583181643,8.291797105048733,8.291295851905407,8.297045149081827,8.300776960851454,8.31164394850298,8.304494897963567,8.300280189852664,8.224431573221159
7,Italy,8.289037098278483,8.280711075662847,8.291797105048733,8.29529885950246,8.275885669474356,8.287025025165063,8.288534459413917,8.28576542051433,8.292047637431354,8.285008895449879,8.290292591224315,8.295798110636145,8.340694647925071,8.294049640102028,8.2482674474469,8.266678443305896
8,Israel,8.289037098278483,8.287276755814599,8.290041618704489,8.28828304520769,8.29154650988391,8.289037098278483,8.289037098278483,8.289539484624141,8.290041618704489,8.289037098278483,8.290041618704489,8.299783171949787,8.299783171949787,8.295049140435111,8.303752415563412,8.248529124800218
9,Australia,8.289037098278483,8.287528423111763,8.290041618704489,8.29054350077274,8.289037098278483,8.287528423111763,8.289288323000317,8.288534459413917,8.291295851905407,8.289288323000317,8.290794347381356,8.295548516225763,8.297792626380861,8.296795865770052,8.308199063206446,8.257644958208228
10,Afghanistan,8.289037098278483,8.289037098278483,8.289288323000317,8.289288323000317,8.288785810426928,8.288785810426928,8.289790583181643,8.289288323000317,8.289037098278483,8.295049140435111,8.285261134068948,8.31434234336979,8.282735880201754,8.27664912542186,8.283999304248526,8.352082671352637
11,Japan,8.289037098278483,8.288785810426928,8.290041618704489,8.289790583181643,8.289288323000317,8.289288323000317,8.289288323000317,8.287780027088433,8.289539484624141,8.29054350077274,8.289288323000317,8.294299608857235,8.298290634359283,8.29254851397576,8.293549515060345,8.268988209506656
12,South Korea,8.289037098278483,8.289037098278483,8.289037098278483,8.289539484624141,8.289037098278483,8.289037098278483,8.289037098278483,8.288534459413917,8.290041618704489,8.290041618704489,8.289790583181643,8.29529885950246,8.296795865770052,8.299534570332597,8.293549515060345,8.276394704863307
13,India,8.289037098278483,8.290292591224315,8.28828304520769,8.290041618704489,8.29054350077274,8.28576542051433,8.290794347381356,8.288785810426928,8.293049139768444,8.285513309079741,8.291295851905407,8.291045131081729,8.295548516225763,8.298290634359283,8.294299608857235,8.266164436612492
14,Singapore,8.289037098278483,8.289288323000317,8.288534459413917,8.290292591224315,8.287780027088433,8.289037098278483,8.289288323000317,8.293549515060345,8.28576542051433,8.288031567776464,8.289288323000317,8.296297112642508,8.293549515060345,8.293299358711323,8.30622521603216,8.262816937670928
