,Affiliation,country
0,"Swiss Federal Institute of Technology, Zurich",None
1,Institute of Neuroinformatics,None
2,"Institute for Neuroinformatics, University of Zurich and ETH Zurich",None
3,Ecole Centrale de Paris,France
4,INSEAD,France
5,IIT & UCL,India
6,Facebook AI Research and University of Oxford,None
7,Google Research and U. Colorado Boulder,None
8,Indiana University,United States
9,University of Colorado at Boulder,None
10,Renaissance Technologies,United States
11,None,Italy
12,Broad Institute of MIT and Harvard,None
13,MIT,United States
14,University of Michigan,United States
15,Baidu Research USA,None
16,Microsoft,United States
17,Stanford University,United States
18,Experian,United Kingdom
19,"University of California, San Diego",United States
20,UCSD,United States
21,U. Michigan,United States
22,DeepLearning.AI,None
23,University of Wisconsin-Madison,United States
24,Instituto Superior Técnico,Portugal
25,Wisconsin,United States
26,Princeton University,United States
27,Google Research,None
28,Google Research & Courant Institute of Mathematical Sciences,None
29,University of Alberta,Canada
30,National ICT Australia,None
31,Google Brain & University of Alberta,None
32,Wright State University,United States
33,UiT The Arctic University of Norway,Norway
34,University of Tromsø,Norway
35,University of Glasgow,United Kingdom
36,Oregon Health and Science University,None
37,University of Pennsylvania,United States
38,Google,United States
39,Yahoo!,United States
40,Amazon,Brazil
41,Mitsubishi Elec Res Labs,None
42,Baidu,China
43,Ant Financial,None
44,University of Munich,Germany
45,Siemens AG,Germany
46,Cornell University,United States
47,University of British Columbia,Canada
48,University of Oxford,United Kingdom
49,"University of Oxford, DeepMind",None
50,"University of California, Irvine",United States
51,University of Amsterdam / Qualcomm AI Research,None
52,"University of California, Riverside",United States
53,UC Riverside,United States
54,Google Brain,None
55,Microsoft Research,United Kingdom
56,Oregon Health & Science University,United States
57,"School. of Medicine,  Oregon Health & Science Univ.",None
58,University of Texas at Austin,United States
59,UT Austin & Amazon,United States
60,University of Waterloo,Canada
61,"MPI for Intelligent Systems, Tübingen",None
62,University of Minnesota,United States
63,insitro,None
64,HHMI,United States
65,FlatIron Institute / New York University,None
66,Michigan State University,United States
67,Michigan State University (MSU),United States
68,Carnegie Mellon University,United States
69,MSR Montréal & CMU,None
70,The Johns Hopkins University,United States
71,Facebook AI Research,None
72,Tencent,United States
73,University of Washington,United States
74,University of Adelaide,Australia
75,Princeton,United States
76,Uni. of Nottingham,United Kingdom
77,UC San Diego,United States
78,Toyota Technological Institute at Chicago,None
79,Weizmann Institute of Science,Israel
80,Facebook,Kenya
81,Intel Labs and CMU,None
82,NEC Labs America,None
83,M.I.T.,Canada
84,Washington University in St. Louis,United States
85,University of Southern California (USC),United States
86,UC Berkeley,United States
87,Ohio State University,United States
88,University of Chicago,United States
89,Case Western Reserve University,United States
90,The University of Chicago,United States
91,Spotify,United States
92,Max Planck Institute for Biological Cybernetics,Germany
93,MPI for Biological Cybernetics,None
94,NEC Labs,None
95,Columbia University,United States
96,"Google, Inc",None
97,University of California San Diego,United States
98,UCLA,United States
99,Honda Research Institute,None
100,Facebook AI,China
101,DeepMind / University of Alberta,None
102,Yahoo! Inc.,None
103,"DeepMind, U Alberta",None
104,"Riya, Inc.",None
105,Alibaba Inc.,None
106,"University of Washington, Seattle",United States
107,Intel,India
108,California Institute of Technology,United States
109,McGill University,Canada
110,INRIA,France
111,Yale University,United States
112,Technion,Israel
113,Osaka University / RIKEN,None
114,University Carlos III de Madrid,Spain
115,UCL,United Kingdom
116,University of Edinburgh,United Kingdom
117,RIKEN / University of Tokyo,None
118,New York University,United States
119,ETH Zurich,Switzerland
