Conference,Year,Title,Author,Affiliation
NeurIPS,2006,Attentional Processing on a Spike-Based VLSI Neural Network,"['Yingxue Wang', 'Rodney J Douglas', 'Shih-Chii Liu']","['Swiss Federal Institute of Technology, Zurich', 'Institute of Neuroinformatics', 'Institute for Neuroinformatics, University of Zurich and ETH Zurich']"
NeurIPS,2006,Multi-Task Feature Learning,"['Andreas Argyriou', 'Theos Evgeniou', 'Massimiliano Pontil']","['Ecole Centrale de Paris', 'INSEAD', 'IIT & UCL']"
NeurIPS,2006,A Rate-Distortion Approach to Joint Pattern Alignment,['Andrea Vedaldi'],['Facebook AI Research and University of Oxford']
NeurIPS,2006,Context Effects in Category Learning:  An Investigation of Four Probabilistic Models,"['Mike Mozer', 'Michael Jones', 'Michael Shettel']","['Google Research and U. Colorado Boulder', 'Indiana University', 'University of Colorado at Boulder']"
NeurIPS,2006,Comparative Gene Prediction using Conditional Random Fields,"['Jade P Vinson', 'David DeCaprio', 'Stacey Luoma', 'James Galagan']","['Renaissance Technologies', 'None', 'None', 'Broad Institute of MIT and Harvard']"
NeurIPS,2006,Causal inference in sensorimotor integration,"['Konrad P Kording', 'Josh Tenenbaum']","['MIT', 'MIT']"
NeurIPS,2006,Geometric entropy minimization (GEM) for anomaly detection and localization,['Alfred Hero'],['University of Michigan']
NeurIPS,2006,Conditional Random Sampling: A Sketch-based Sampling Technique for Sparse Data,"['Ping Li', 'Kenneth W Church', 'Trevor Hastie']","['Baidu Research USA', 'Microsoft', 'Stanford University']"
NeurIPS,2006,Recursive ICA,"['Honghao Shan', 'Lingyun Zhang', 'Gary Cottrell']","['Experian', 'University of California, San Diego', 'UCSD']"
NeurIPS,2006,"Efficient sparse coding algorithms, end-stopping and nCRF surround suppression","['Honglak Lee', 'Alexis Battle', 'Raina Rajat', 'Andrew Y Ng']","['U. Michigan', 'Stanford University', 'Stanford University', 'DeepLearning.AI']"
NeurIPS,2006,Inferring Network Structure from Co-Occurrences,"['Michael Rabbat', 'Mario T Figueiredo', 'Rob Nowak']","['University of Wisconsin-Madison', 'Instituto Superior Técnico', 'Wisconsin']"
NeurIPS,2006,Training Conditional Random Fields for Maximum Parse Accuracy,"['Samuel Gross', 'Olga Russakovsky', 'Chuong B Do', 'Serafim Batzoglou']","['Stanford University', 'Princeton University', 'Stanford University', 'None']"
NeurIPS,2006,On Transductive Regression,"['Corinna Cortes', 'Mehryar Mohri']","['Google Research', 'Google Research & Courant Institute of Mathematical Sciences']"
NeurIPS,2006,implicit Online Learning with Kernels,"['licheng Cheng', 'Vishwanathan S V N', 'Dale Schuurmans', 'Shaojun Wang', 'Terry Caelli']","['University of Alberta', 'National ICT Australia', 'Google Brain & University of Alberta', 'Wright State University', 'None']"
NeurIPS,2006,Kernel Maximum Entropy Data Transformation and an Enhanced Spectral Clustering Algorithm,"['Robert Jenssen', 'Torbjorn Eltoft', 'Mark A Girolami', 'Deniz Erdogmus']","['UiT The Arctic University of Norway', 'University of Tromsø', 'University of Glasgow', 'Oregon Health and Science University']"
NeurIPS,2006,Blind Motion Deblurring Using Image Statistics,['Anat Levin'],['MIT']
NeurIPS,2006,A Small World Threshold for Economic Network Formation,"['Eyal Even-Dar', 'Michael Kearns']","['University of Pennsylvania', 'University of Pennsylvania']"
NeurIPS,2006,Branch and Bound for Semi-Supervised Support Vector Machines,"['Olivier Chapelle', 'Vikas Sindhwani', 'Sathiya Selvaraj Keerthi']","['Google', 'Google', 'Yahoo!']"
NeurIPS,2006,Isotonic Conditional Random Fields and Local Sentiment Flow,"['Yi Mao', 'Guy Lebanon']","['Microsoft', 'Amazon']"
